work_year,experience_level,job_title,employee_residence,company_location,salary_in_usd
2023,3,84,26,25,85847
2023,2,66,75,70,30000
2023,2,66,75,70,25500
2023,3,47,11,12,175000
2023,3,47,11,12,120000
2023,3,8,75,70,222200
2023,3,8,75,70,136000
2023,3,47,11,12,219000
2023,3,47,11,12,141000
2023,3,47,75,70,147100
2023,3,47,75,70,90700
2023,3,25,75,70,130000
2023,3,25,75,70,100000
2023,0,8,75,70,213660
2023,0,8,75,70,130760
2023,3,38,75,70,147100
2023,3,38,75,70,90700
2023,3,47,75,70,170000
2023,3,47,75,70,150000
2023,2,25,75,70,150000
2023,2,25,75,70,110000
2023,3,88,20,20,275000
2023,3,88,20,20,174000
2023,3,4,29,28,230000
2023,3,4,29,28,143200
2023,3,18,75,70,225000
2023,3,18,75,70,156400
2023,3,69,75,70,200000
2023,3,69,75,70,130000
2023,3,50,11,12,90000
2023,3,50,11,12,72000
2023,3,33,75,70,253200
2023,3,33,75,70,90700
2023,3,23,75,70,342810
2023,3,23,75,70,184590
2023,2,33,75,70,162500
2023,2,33,75,70,130000
2023,2,25,75,70,105380
2023,2,25,75,70,64500
2023,0,41,56,53,100000
2023,0,22,56,53,30000
2022,2,69,39,38,20984
2023,0,8,75,70,204620
2023,0,8,75,70,110680
2023,3,33,75,70,270703
2023,3,33,75,70,221484
2023,3,47,75,70,212750
2023,3,47,75,70,185000
2023,3,47,75,70,262000
2023,3,47,75,70,245000
2023,3,47,75,70,275300
2023,3,47,75,70,183500
2023,3,47,75,70,218500
2023,3,47,75,70,199098
2023,3,33,75,70,203300
2023,3,33,75,70,123600
2023,3,88,75,70,189110
2023,3,88,75,70,139000
2023,1,47,75,70,258750
2023,1,47,75,70,185000
2023,3,33,75,70,231500
2023,3,33,75,70,166000
2023,3,47,75,70,172500
2023,3,47,75,70,110500
2023,3,33,75,70,238000
2023,3,33,75,70,176000
2023,3,33,75,70,237000
2023,3,33,75,70,201450
2023,3,8,75,70,309400
2023,3,8,75,70,159100
2023,3,33,75,70,115000
2023,3,33,75,70,81500
2023,3,47,75,70,237000
2023,3,47,75,70,201450
2023,3,23,75,70,280000
2023,3,23,75,70,210000
2023,3,31,75,70,280100
2023,3,31,75,70,168100
2023,3,33,75,70,193500
2023,3,33,75,70,139000
2023,2,47,32,31,65062
2023,3,69,63,70,150000
2023,2,6,39,20,69751
2022,0,1,39,38,300000
2023,2,69,57,54,96578
2023,3,18,75,70,185900
2023,3,18,75,70,129300
2023,3,33,75,70,225000
2023,3,33,75,70,175000
2023,3,33,75,70,185000
2023,3,33,75,70,140000
2023,3,47,26,25,48289
2023,3,47,26,25,38631
2023,3,47,75,70,105000
2023,3,47,75,70,70000
2023,0,69,75,70,163196
2023,0,69,75,70,145885
2023,3,33,75,70,217000
2023,3,33,75,70,185000
2023,3,25,75,70,202800
2023,3,25,75,70,104300
2023,3,25,75,70,145000
2023,3,25,75,70,65000
2023,3,33,75,70,165000
2023,3,33,75,70,132300
2023,3,33,75,70,179170
2023,3,33,75,70,94300
2023,3,4,75,70,152500
2023,3,4,75,70,116450
2023,3,33,75,70,247300
2023,3,33,75,70,133800
2023,3,88,75,70,203000
2023,3,88,75,70,133000
2023,0,89,75,70,220000
2022,0,69,13,14,56536
2023,3,47,75,70,120000
2023,3,4,75,70,289800
2023,3,4,75,70,214000
2023,3,4,75,70,179820
2023,3,4,75,70,143860
2023,3,69,75,70,283200
2023,3,69,75,70,188800
2023,3,4,75,70,214200
2023,3,33,75,70,185900
2023,3,33,75,70,129300
2023,3,33,75,70,252000
2023,3,33,75,70,129000
2023,2,29,75,70,155000
2023,2,29,75,70,140000
2023,3,33,75,70,161800
2023,3,33,75,70,141600
2023,3,69,75,70,342300
2023,3,69,75,70,176100
2023,2,33,75,70,100000
2023,2,33,75,70,70000
2023,0,33,75,70,85000
2023,0,33,75,70,65000
2023,3,47,75,70,138784
2023,3,47,75,70,83270
2023,0,25,75,70,75000
2023,0,25,75,70,70000
2023,3,25,75,70,204500
2023,3,25,75,70,138900
2023,3,69,75,70,318300
2023,3,69,75,70,212200
2023,3,33,75,70,95000
2023,3,33,75,70,75000
2023,3,47,75,70,195000
2023,3,47,75,70,160000
2023,3,4,75,70,230000
2023,3,4,75,70,143200
2023,2,17,75,70,105000
2023,2,5,39,38,20670
2023,2,25,29,28,46178
2023,2,25,29,28,42533
2023,3,33,75,70,145000
2023,3,25,75,70,168400
2023,3,25,75,70,105200
2023,3,69,75,70,190000
2023,3,69,75,70,150000
2023,3,4,75,70,150000
2023,3,4,75,70,120000
2023,3,33,75,70,120000
2023,3,25,12,13,54685
2023,3,25,12,13,42533
2023,3,33,75,70,241000
2023,3,33,75,70,155000
2023,3,33,75,70,220000
2023,3,33,75,70,190000
2023,2,47,29,28,66837
2023,2,47,29,28,54685
2020,1,91,56,12,15000
2023,2,55,29,28,85066
2023,2,55,29,28,57723
2023,0,25,75,70,85000
2023,0,25,75,70,75000
2023,3,33,75,70,160000
2023,2,69,75,70,300000
2023,2,69,75,70,250000
2023,3,47,75,70,228000
2023,3,47,75,70,186000
2023,3,47,75,70,190000
2023,2,88,75,70,230000
2023,2,88,75,70,200000
2023,3,31,75,70,180000
2023,3,31,75,70,115000
2023,3,31,75,70,200000
2023,3,32,28,27,53654
2023,1,33,75,70,220000
2023,1,33,75,70,205000
2023,2,33,75,70,180000
2023,3,33,75,70,200000
2023,3,33,75,70,150000
2023,3,23,75,70,215000
2023,3,23,75,70,170000
2023,3,69,75,70,247500
2023,3,69,75,70,172200
2023,3,47,11,12,224000
2023,3,47,11,12,176000
2023,3,25,75,70,120000
2023,3,25,75,70,75000
2023,0,33,39,38,17022
2023,3,5,5,26,68318
2023,2,1,27,26,75020
2023,3,25,75,70,140000
2023,3,25,75,70,120000
2023,3,33,75,70,128000
2023,1,58,75,70,329500
2023,1,58,75,70,269600
2023,3,41,75,70,100000
2023,3,41,75,70,80000
2023,3,47,75,70,250000
2023,3,47,75,70,162500
2023,2,1,75,70,200000
2023,3,33,75,70,100000
2023,1,33,75,70,145000
2023,1,33,75,70,115000
2023,3,47,75,70,203500
2023,3,47,75,70,152000
2023,3,47,75,70,239000
2023,3,47,75,70,122900
2023,3,47,75,70,237000
2023,3,47,75,70,145000
2023,3,45,75,70,191765
2023,3,45,75,70,134236
2023,3,4,75,70,190000
2023,3,4,75,70,112000
2022,3,47,26,28,88256
2023,3,25,75,70,135000
2023,3,25,75,70,105500
2023,3,88,75,70,293000
2023,3,88,75,70,185000
2023,3,25,75,70,80000
2023,3,25,75,70,70000
2023,3,33,75,70,160000
2023,3,47,75,70,175000
2023,3,47,75,70,145000
2023,3,25,75,70,200000
2023,3,25,75,70,148500
2023,3,33,75,70,240500
2023,3,33,75,70,123700
2023,3,4,75,70,152900
2023,3,4,75,70,117100
2023,3,4,75,70,173000
2023,3,4,75,70,113000
2023,3,8,75,70,260000
2023,1,33,75,70,175000
2023,1,33,75,70,110000
2023,3,89,75,70,130000
2023,3,89,75,70,110000
2023,3,8,75,70,205000
2023,3,8,75,70,184000
2023,3,25,75,70,149500
2023,3,25,75,70,127075
2023,3,33,75,70,219535
2023,3,33,75,70,146115
2023,3,47,75,70,135000
2023,3,47,75,70,199000
2023,3,47,75,70,162000
2023,1,4,75,70,221000
2023,1,4,75,70,153000
2023,3,25,75,70,187000
2023,3,25,75,70,128000
2023,3,89,75,70,210000
2023,3,89,75,70,136000
2023,3,47,75,70,100000
2023,3,33,75,70,179000
2023,3,33,75,70,109000
2023,3,47,75,70,245000
2023,3,47,75,70,180000
2023,3,25,75,70,142000
2023,3,37,75,70,198800
2023,3,37,75,70,105200
2023,3,25,75,70,125000
2023,3,25,75,70,112000
2023,3,47,75,70,210000
2023,3,47,75,70,155000
2023,3,37,75,70,115000
2023,3,37,75,70,86000
2023,3,47,75,70,165000
2023,3,47,75,70,140000
2023,3,25,75,70,139000
2023,3,25,75,70,106000
2023,0,25,11,12,40663
2022,3,1,11,12,275000
2023,3,73,74,69,50000
2023,2,69,75,70,280700
2023,2,69,75,70,150450
2023,0,47,11,12,51753
2023,3,31,75,70,250500
2023,3,31,75,70,159500
2023,0,47,75,70,130001
2023,0,47,75,70,71907
2023,2,47,75,70,93918
2023,2,47,75,70,51962
2023,3,25,11,12,175000
2023,3,25,11,12,135000
2023,3,69,75,70,257000
2023,3,69,75,70,147000
2023,3,33,75,70,222000
2023,3,47,75,70,203000
2023,3,47,75,70,133200
2023,3,33,75,70,221000
2023,3,33,75,70,147000
2023,3,47,75,70,185900
2023,3,47,75,70,129300
2023,3,47,75,70,238000
2023,3,47,75,70,156000
2023,3,69,75,70,304000
2023,3,69,75,70,199000
2023,2,16,26,25,48289
2023,3,33,75,70,150000
2023,3,33,75,70,130000
2023,3,47,75,70,140000
2023,3,47,75,70,110000
2023,2,25,75,70,90000
2023,2,25,75,70,75000
2023,2,89,29,28,195895
2023,2,89,29,28,102772
2023,3,33,75,70,240000
2023,3,33,75,70,183600
2023,2,49,75,70,130000
2023,2,49,75,70,80000
2023,3,33,75,70,250000
2023,3,29,75,70,160000
2023,3,29,75,70,120000
2023,3,69,75,70,289076
2023,3,69,75,70,202353
2023,3,25,75,70,155000
2023,3,33,75,70,200000
2023,3,47,75,70,157750
2023,3,47,75,70,104650
2023,2,47,75,70,180000
2023,2,47,75,70,140000
2023,1,47,75,70,200000
2023,1,47,75,70,145000
2023,2,62,75,70,68000
2023,0,13,75,70,60000
2023,2,33,75,70,125000
2023,2,33,75,70,90000
2023,3,25,75,70,105000
2023,3,25,75,70,90000
2023,0,88,75,70,155000
2023,0,88,75,70,125000
2023,3,69,75,70,241000
2023,3,69,75,70,181000
2023,3,47,75,70,252000
2023,3,47,75,70,154000
2023,1,31,75,70,180000
2023,1,31,75,70,155000
2023,3,47,75,70,191765
2023,3,47,75,70,134236
2023,3,33,75,70,146000
2023,3,33,75,70,75000
2023,0,25,75,70,64200
2023,0,25,75,70,56100
2023,3,69,75,70,170000
2023,3,25,75,70,208450
2023,3,25,75,70,170550
2023,3,69,75,70,125000
2023,3,69,75,70,100000
2023,2,37,75,70,135000
2023,2,37,75,70,120000
2023,3,47,75,70,200000
2023,3,47,75,70,170000
2023,3,47,37,36,171250
2023,3,47,37,36,113750
2023,3,25,75,70,153600
2023,3,25,75,70,100500
2023,3,69,11,12,115000
2023,3,69,11,12,95000
2023,2,25,75,70,182500
2023,2,25,75,70,121500
2023,3,33,75,70,203100
2023,3,33,75,70,114500
2023,2,25,29,28,72914
2023,2,25,29,28,54685
2023,0,33,75,70,92700
2023,0,33,75,70,61800
2023,3,33,75,70,130000
2023,3,47,11,12,258000
2023,3,47,11,12,190000
2023,2,31,75,70,167500
2023,2,31,75,70,106500
2023,2,33,75,70,146000
2023,2,33,75,70,75000
2022,0,33,57,54,59888
2023,1,33,75,70,286000
2023,1,33,75,70,207000
2023,3,25,75,70,80000
2023,3,33,75,70,223250
2023,3,33,75,70,178600
2023,1,53,75,70,353200
2023,1,53,75,70,249300
2023,2,74,75,70,230000
2023,2,74,75,70,220000
2023,3,47,75,70,297300
2023,3,47,75,70,198200
2023,2,89,75,70,210000
2023,2,89,75,70,151800
2023,3,47,75,70,317070
2023,3,47,75,70,170730
2023,0,17,26,25,21461
2023,3,1,74,69,108000
2023,3,1,74,69,60000
2023,2,67,75,70,134000
2023,2,67,75,70,124000
2023,3,33,75,70,171250
2023,3,33,75,70,113750
2023,3,47,75,70,225000
2023,3,47,75,70,175000
2023,3,33,75,70,230000
2023,3,33,75,70,124500
2023,3,25,75,70,175000
2023,3,25,75,70,148700
2023,3,25,75,70,125600
2023,3,89,75,70,200000
2023,3,89,75,70,150000
2023,0,88,75,70,160000
2023,0,88,75,70,120000
2023,3,25,75,70,185000
2023,3,25,75,70,120250
2023,3,47,75,70,183000
2023,3,31,75,70,170000
2023,3,31,75,70,125000
2023,3,89,75,70,250000
2023,2,69,75,70,135000
2023,3,3,38,37,423834
2023,3,69,75,70,216000
2023,3,69,75,70,184000
2023,3,33,75,70,180000
2023,3,33,75,70,165000
2023,2,33,75,70,143865
2023,2,33,75,70,115092
2023,2,69,75,70,130000
2023,2,69,75,70,90000
2023,3,47,75,70,173000
2023,3,47,75,70,132000
2023,3,25,75,70,208049
2023,3,25,75,70,128500
2023,3,33,75,70,167500
2023,3,33,75,70,106500
2023,2,33,75,70,149600
2023,2,33,75,70,102000
2023,1,47,75,70,100000
2023,3,25,75,70,190000
2023,3,25,75,70,95000
2023,3,25,75,70,106800
2023,2,47,37,36,96578
2023,2,47,37,36,80481
2023,2,25,75,70,128000
2023,2,25,75,70,85000
2023,2,33,75,70,151000
2023,2,33,75,70,140000
2023,3,74,75,70,220000
2023,3,74,75,70,170000
2023,0,9,30,29,7000
2023,0,7,20,20,42923
2023,3,33,11,12,160000
2023,3,33,11,12,145000
2023,2,25,75,70,154000
2023,2,25,75,70,143000
2023,2,47,29,28,78990
2023,2,47,29,28,51039
2023,0,47,75,70,190000
2023,0,47,75,70,120000
2023,2,47,29,28,85066
2023,2,47,29,28,109371
2023,2,47,29,28,72914
2023,3,33,75,70,111000
2023,1,33,75,70,265000
2023,1,33,75,70,235000
2023,0,47,13,14,121093
2022,2,47,20,20,73546
2023,2,33,75,70,75000
2023,2,33,75,70,60400
2022,3,64,37,36,172309
2023,2,47,4,20,60093
2023,2,25,75,70,83500
2023,2,25,75,70,52500
2023,3,47,75,70,201036
2023,3,47,75,70,134024
2023,3,25,75,70,165000
2023,3,25,75,70,140000
2023,0,33,75,70,62000
2023,0,33,75,70,58000
2023,3,47,75,70,172000
2023,3,47,75,70,115000
2023,0,33,75,70,125000
2023,0,33,75,70,90000
2023,3,33,75,70,163800
2023,3,33,75,70,126000
2023,2,33,75,70,90000
2023,3,33,75,70,139500
2023,3,33,75,70,109400
2023,2,33,75,70,145000
2023,2,33,75,70,120000
2023,3,33,75,70,205600
2023,3,33,75,70,105700
2023,3,47,75,70,239748
2023,3,47,75,70,159832
2023,3,47,75,70,186300
2023,3,47,75,70,102500
2023,3,47,75,70,126000
2023,3,31,75,70,149040
2023,3,31,75,70,113900
2023,3,33,75,70,153600
2023,3,33,75,70,106800
2023,3,33,75,70,172600
2023,3,33,75,70,107900
2023,3,25,75,70,180180
2023,3,25,75,70,106020
2023,3,31,75,70,376080
2023,3,31,75,70,213120
2023,3,25,75,70,206500
2023,3,25,75,70,121600
2023,3,33,75,70,260000
2023,3,33,75,70,225000
2023,1,33,75,70,194500
2023,1,33,75,70,115500
2023,3,21,75,70,170000
2023,3,7,75,70,90000
2023,0,25,75,70,95000
2023,0,25,75,70,70000
2023,3,33,75,70,275000
2023,3,25,75,70,115934
2023,3,25,75,70,81666
2023,3,69,75,70,150000
2023,3,69,75,70,120000
2023,3,88,75,70,200000
2023,3,88,75,70,175000
2023,2,25,75,70,206000
2023,2,25,75,70,130000
2023,3,31,29,28,138000
2023,3,31,29,28,92000
2023,3,37,16,17,65000
2023,3,37,16,17,48000
2023,3,25,75,70,110000
2023,3,4,75,70,130000
2023,3,4,75,70,87000
2023,2,25,75,70,160000
2023,2,25,75,70,112000
2023,3,45,75,70,299500
2023,3,45,75,70,245100
2023,2,47,75,70,145000
2023,2,47,75,70,100000
2023,3,33,75,70,147100
2023,0,33,75,70,115100
2023,0,33,75,70,73900
2023,3,33,75,70,168400
2023,3,33,75,70,105200
2023,2,25,75,70,100000
2023,2,33,29,28,85066
2023,2,33,29,28,57723
2023,2,33,75,70,95000
2023,2,57,75,70,130000
2023,3,47,75,70,205000
2023,3,89,75,70,141288
2023,3,89,75,70,94192
2023,3,34,75,70,184000
2023,3,34,75,70,143000
2023,3,25,75,70,55000
2023,3,4,75,70,275300
2023,3,4,75,70,183500
2023,2,25,75,70,75000
2023,2,25,75,70,65000
2023,2,66,75,70,160000
2023,2,66,75,70,147000
2023,2,90,68,64,75020
2023,2,47,39,38,17022
2023,0,2,39,6,70000
2023,0,1,67,63,80000
2023,2,62,39,38,18238
2023,2,69,75,70,150000
2023,1,33,75,70,210914
2023,1,33,75,70,116704
2023,0,89,75,70,150000
2023,0,89,75,70,100000
2023,0,25,75,70,60000
2023,2,4,75,70,185700
2023,2,4,75,70,165000
2023,3,25,75,70,169000
2023,3,25,75,70,110600
2023,3,40,75,70,193000
2023,3,40,75,70,136850
2023,3,69,75,70,139500
2023,3,69,75,70,109400
2023,3,33,75,70,276000
2023,3,33,75,70,178500
2023,2,47,26,25,59020
2023,2,47,26,25,48289
2023,2,33,69,65,75116
2023,2,33,69,65,48289
2023,3,69,29,28,195652
2023,3,69,29,28,101228
2023,3,33,29,28,136956
2023,3,33,29,28,101228
2022,3,14,75,70,130000
2021,2,44,75,70,150000
2023,3,66,11,12,260000
2023,3,66,11,12,110000
2023,3,4,75,70,170000
2023,3,4,75,70,130000
2023,3,69,75,70,163800
2023,3,69,75,70,126000
2023,2,47,75,70,128750
2023,2,47,75,70,106250
2023,1,33,75,70,167500
2023,1,33,75,70,106500
2023,3,31,75,70,188500
2023,3,31,75,70,117000
2023,3,25,75,70,250000
2023,3,25,75,70,138000
2023,2,25,11,12,130000
2023,2,25,11,12,100000
2023,3,52,20,20,123405
2023,3,11,75,70,160000
2023,3,11,75,70,135000
2023,2,45,75,70,104500
2023,2,45,75,70,70000
2023,2,42,75,70,90000
2023,2,42,75,70,70000
2023,2,89,75,70,185000
2023,2,89,75,70,125000
2023,3,25,75,70,127000
2023,3,25,75,70,94000
2023,3,47,75,70,210550
2023,3,47,75,70,153300
2023,2,47,75,70,200000
2023,2,47,75,70,150000
2023,3,25,75,70,161500
2023,3,25,75,70,119500
2023,3,47,75,70,148750
2023,3,30,75,70,105000
2023,3,30,75,70,85000
2023,3,89,75,70,215000
2023,3,89,75,70,146300
2023,0,1,20,20,214618
2023,2,33,54,51,72000
2023,2,33,54,51,60000
2023,3,69,75,70,153400
2023,3,69,75,70,122700
2023,2,33,75,70,260000
2023,2,33,75,70,175000
2023,3,47,75,70,123900
2023,2,89,75,70,340000
2023,2,89,75,70,150000
2023,2,33,75,70,250000
2023,2,47,28,27,64385
2023,3,25,75,70,185900
2023,3,25,75,70,121700
2023,3,90,56,6,50000
2023,0,25,76,70,100000
2023,1,33,75,70,310000
2023,1,33,75,70,239000
2023,3,25,75,70,125000
2023,3,25,75,70,110000
2023,0,25,75,70,150000
2023,0,25,75,70,100000
2023,3,47,75,70,149076
2023,3,47,75,70,82365
2023,2,25,29,28,97218
2023,2,25,29,28,48609
2023,3,25,75,70,95000
2023,3,25,75,70,85500
2023,2,47,75,70,97750
2023,3,47,75,70,201000
2023,3,47,75,70,122000
2023,2,47,75,70,116990
2023,2,47,75,70,82920
2023,2,74,75,70,200000
2023,2,74,75,70,125000
2023,3,69,75,70,204500
2023,3,69,75,70,142200
2023,3,37,75,70,155000
2023,3,37,75,70,140000
2023,2,70,75,70,205920
2023,2,70,75,70,171600
2023,3,33,75,70,121500
2023,3,33,75,70,78000
2023,2,33,75,70,154000
2023,2,33,75,70,116000
2023,3,47,75,70,136000
2023,2,25,29,28,78990
2023,2,25,29,28,43809
2023,3,25,75,70,180000
2023,3,33,75,70,170000
2023,3,33,75,70,154000
2023,3,33,75,70,116000
2023,2,33,75,70,200000
2023,3,47,75,70,160000
2023,2,33,29,28,127599
2023,2,33,29,28,103294
2023,3,33,75,70,153600
2023,3,33,75,70,106800
2023,3,47,75,70,156400
2023,3,4,75,70,150000
2023,3,4,75,70,120000
2023,3,25,75,70,145000
2023,3,47,75,70,260000
2023,0,25,39,38,30000
2023,2,89,75,70,185000
2023,2,89,75,70,125000
2022,0,25,75,70,34320
2022,2,17,10,10,9289
2023,3,58,63,60,75116
2022,1,45,76,62,106000
2023,3,25,75,70,175000
2023,3,25,75,70,122000
2023,3,25,75,70,93800
2023,3,45,54,51,150000
2023,3,45,54,51,90000
2023,0,23,75,70,220000
2023,3,12,20,20,71897
2023,0,1,20,20,64385
2023,3,25,39,38,15806
2023,2,69,75,70,200000
2023,2,69,75,70,175000
2023,2,47,28,27,40000
2023,3,42,71,67,29453
2023,3,47,75,70,136000
2023,3,47,75,70,104000
2023,3,25,75,70,152380
2023,3,25,75,70,121904
2023,3,31,75,70,168400
2023,3,31,75,70,105200
2023,3,69,75,70,128280
2023,3,69,75,70,106900
2022,3,64,75,70,192000
2023,2,33,75,70,100000
2023,3,88,20,20,107309
2023,3,88,20,20,85847
2023,3,69,20,20,275000
2023,3,69,20,20,174000
2023,3,25,75,70,170500
2023,3,25,75,70,85000
2023,3,37,29,28,72946
2023,3,37,29,28,54365
2023,1,59,29,28,160288
2023,1,59,29,28,127467
2023,3,33,75,70,80000
2023,3,33,75,70,65000
2023,3,33,75,70,124740
2023,3,33,75,70,65488
2023,3,41,75,70,72200
2023,3,41,75,70,64980
2023,3,25,75,70,179975
2023,3,25,75,70,86466
2023,3,33,75,70,90000
2023,2,61,29,28,51039
2023,2,61,29,28,42533
2023,3,45,75,70,175000
2023,3,45,75,70,120000
2023,3,25,75,70,230000
2023,3,37,75,70,120000
2023,3,70,75,70,205920
2023,3,70,75,70,171600
2023,3,33,75,70,265000
2023,2,6,75,70,130000
2022,0,47,75,70,168000
2023,2,3,26,25,38631
2023,3,33,75,70,167580
2023,3,33,75,70,87980
2023,3,33,75,70,202000
2023,3,33,75,70,135000
2023,3,33,75,70,104000
2023,3,33,75,70,65000
2023,3,88,75,70,230000
2023,3,88,75,70,148000
2023,3,69,11,12,269000
2023,3,69,11,12,158000
2023,3,4,75,70,197000
2023,3,4,75,70,106000
2023,2,51,75,70,150000
2023,2,51,75,70,100000
2023,3,33,75,70,290000
2023,3,33,75,70,210000
2023,3,33,75,70,192000
2023,3,33,75,70,172800
2023,3,47,75,70,300240
2023,3,47,75,70,200160
2023,3,4,75,70,175000
2023,3,4,75,70,140000
2023,3,37,75,70,169000
2023,3,37,75,70,100000
2023,3,47,75,70,370000
2023,2,33,29,28,115447
2023,3,25,75,70,110000
2023,3,25,75,70,80000
2023,0,25,75,70,55000
2023,0,25,75,70,48000
2023,3,25,75,70,85000
2023,3,33,75,70,137500
2023,3,33,75,70,81500
2023,3,69,75,70,323300
2023,3,69,75,70,184700
2021,2,3,30,29,30000
2023,3,69,75,70,186000
2023,3,69,75,70,153088
2023,2,34,75,70,190000
2023,2,34,75,70,160000
2023,3,69,75,70,200000
2023,2,34,75,70,190000
2023,2,34,75,70,183310
2023,3,69,75,70,240000
2023,3,69,75,70,180000
2023,3,33,75,70,144000
2023,3,33,75,70,66000
2023,2,69,75,70,148500
2023,2,69,75,70,126277
2023,3,31,75,70,228000
2023,3,31,75,70,120000
2023,3,75,75,70,180000
2023,3,75,75,70,90000
2023,3,47,75,70,126500
2023,3,47,75,70,78000
2023,3,33,75,70,180000
2023,3,75,75,70,272000
2023,3,75,75,70,170000
2023,2,25,75,70,80000
2023,2,25,75,70,60000
2023,3,33,75,70,259000
2023,3,33,75,70,146000
2023,3,47,75,70,139500
2023,2,33,75,70,140000
2023,2,33,75,70,120000
2023,2,25,34,33,109371
2023,2,25,34,33,72914
2023,0,25,61,38,17779
2023,0,47,10,10,19522
2023,3,44,75,70,247500
2023,3,44,75,70,172200
2023,3,70,28,27,107309
2023,3,70,28,27,75116
2023,3,69,75,70,288000
2023,3,69,75,70,140000
2023,2,44,29,28,72914
2023,2,44,29,28,60761
2023,3,47,75,70,215050
2023,3,47,75,70,156400
2023,3,31,75,70,198000
2023,3,31,75,70,114000
2023,3,47,75,70,209300
2023,3,47,75,70,182200
2022,0,47,75,70,85000
2023,2,69,29,28,48609
2023,0,88,29,28,120000
2023,0,88,29,28,60000
2023,3,69,75,70,147100
2023,3,69,75,70,90700
2023,3,25,75,70,227000
2023,3,25,75,70,108000
2023,3,31,75,70,160000
2023,3,25,26,25,55800
